,"""Infizierte_7_Tage"""
Altena,107
Balve,89
Halver,145
Hemer,282
Herscheid,55
Iserlohn,966
Kierspe,124
Lüdenscheid,627
Meinerzhagen,221
Menden,484
Nachrodt-Wiblingwerde,51
Neuenrade,79
Plettenberg,273
Schalksmühle,97
Werdohl,203
