,"""Infizierte_7_Tage"""
Altena,16
Balve,1
Halver,32
Hemer,23
Herscheid,10
Iserlohn,95
Kierspe,10
Lüdenscheid,97
Meinerzhagen,22
Menden,43
Nachrodt-Wiblingwerde,2
Neuenrade,6
Plettenberg,31
Schalksmühle,7
Werdohl,11
