,"""Infizierte_7_Tage"""
Altena,35
Balve,15
Halver,64
Hemer,66
Herscheid,24
Iserlohn,180
Kierspe,154
Lüdenscheid,241
Meinerzhagen,58
Menden,100
Nachrodt-Wiblingwerde,9
Neuenrade,15
Plettenberg,28
Schalksmühle,19
Werdohl,41
