,"""Infizierte_7_Tage"""
Altena,9
Balve,13
Halver,9
Hemer,20
Herscheid,9
Iserlohn,54
Kierspe,15
Lüdenscheid,40
Meinerzhagen,8
Menden,12
Nachrodt-Wiblingwerde,0
Neuenrade,13
Plettenberg,19
Schalksmühle,0
Werdohl,8
