,"""Infizierte_7_Tage"""
Altena,184
Balve,132
Halver,278
Hemer,704
Herscheid,165
Iserlohn,1786
Kierspe,278
Lüdenscheid,1260
Meinerzhagen,459
Menden,792
Nachrodt-Wiblingwerde,75
Neuenrade,94
Plettenberg,515
Schalksmühle,146
Werdohl,312
