,"""Infizierte_7_Tage"""
Altena,225
Balve,123
Halver,391
Hemer,756
Herscheid,115
Iserlohn,1902
Kierspe,453
Lüdenscheid,1485
Meinerzhagen,497
Menden,1128
Nachrodt-Wiblingwerde,125
Neuenrade,158
Plettenberg,445
Schalksmühle,192
Werdohl,331
