,"""Infizierte_7_Tage"""
Altena,17
Balve,12
Halver,42
Hemer,58
Herscheid,16
Iserlohn,123
Kierspe,130
Lüdenscheid,147
Meinerzhagen,40
Menden,85
Nachrodt-Wiblingwerde,5
Neuenrade,17
Plettenberg,34
Schalksmühle,11
Werdohl,36
