,"""Infizierte_7_Tage"""
Altena,22
Balve,10
Halver,22
Hemer,45
Herscheid,10
Iserlohn,159
Kierspe,39
Lüdenscheid,130
Meinerzhagen,17
Menden,72
Nachrodt-Wiblingwerde,5
Neuenrade,12
Plettenberg,33
Schalksmühle,12
Werdohl,60
