,"""Infizierte_7_Tage"""
Altena,7
Balve,8
Halver,34
Hemer,59
Herscheid,23
Iserlohn,81
Kierspe,37
Lüdenscheid,110
Meinerzhagen,29
Menden,48
Nachrodt-Wiblingwerde,4
Neuenrade,14
Plettenberg,22
Schalksmühle,5
Werdohl,19
