,"""Infizierte_7_Tage"""
Altena,2
Balve,0
Halver,2
Hemer,21
Herscheid,1
Iserlohn,68
Kierspe,27
Lüdenscheid,65
Meinerzhagen,27
Menden,23
Nachrodt-Wiblingwerde,4
Neuenrade,5
Plettenberg,11
Schalksmühle,1
Werdohl,10
