,"""Infizierte_7_Tage"""
Altena,6
Balve,11
Halver,24
Hemer,50
Herscheid,22
Iserlohn,69
Kierspe,29
Lüdenscheid,88
Meinerzhagen,27
Menden,41
Nachrodt-Wiblingwerde,5
Neuenrade,7
Plettenberg,27
Schalksmühle,4
Werdohl,17
