,"""Infizierte_7_Tage"""
Altena,8
Balve,1
Halver,2
Hemer,6
Herscheid,2
Iserlohn,50
Kierspe,12
Lüdenscheid,51
Meinerzhagen,15
Menden,10
Nachrodt-Wiblingwerde,4
Neuenrade,5
Plettenberg,18
Schalksmühle,0
Werdohl,24
