,"""Infizierte_7_Tage"""
Altena,56
Balve,32
Halver,83
Hemer,106
Herscheid,21
Iserlohn,225
Kierspe,107
Lüdenscheid,296
Meinerzhagen,84
Menden,93
Nachrodt-Wiblingwerde,27
Neuenrade,40
Plettenberg,94
Schalksmühle,38
Werdohl,49
