,"""Infizierte_7_Tage"""
Altena,7
Balve,0
Halver,3
Hemer,8
Herscheid,2
Iserlohn,18
Kierspe,4
Lüdenscheid,26
Meinerzhagen,13
Menden,4
Nachrodt-Wiblingwerde,2
Neuenrade,2
Plettenberg,9
Schalksmühle,0
Werdohl,23
