,"""Infizierte_7_Tage"""
Altena,17
Balve,1
Halver,28
Hemer,33
Herscheid,12
Iserlohn,93
Kierspe,11
Lüdenscheid,92
Meinerzhagen,22
Menden,51
Nachrodt-Wiblingwerde,4
Neuenrade,5
Plettenberg,28
Schalksmühle,10
Werdohl,12
