,"""Infizierte_7_Tage"""
Altena,56
Balve,29
Halver,86
Hemer,99
Herscheid,22
Iserlohn,223
Kierspe,106
Lüdenscheid,287
Meinerzhagen,82
Menden,101
Nachrodt-Wiblingwerde,29
Neuenrade,36
Plettenberg,93
Schalksmühle,38
Werdohl,35
