,"""Infizierte_7_Tage"""
Altena,15
Balve,1
Halver,29
Hemer,19
Herscheid,10
Iserlohn,86
Kierspe,10
Lüdenscheid,86
Meinerzhagen,20
Menden,42
Nachrodt-Wiblingwerde,2
Neuenrade,5
Plettenberg,29
Schalksmühle,5
Werdohl,11
