,"""Infizierte_7_Tage"""
Altena,99
Balve,32
Halver,81
Hemer,138
Herscheid,18
Iserlohn,254
Kierspe,65
Lüdenscheid,288
Meinerzhagen,98
Menden,131
Nachrodt-Wiblingwerde,24
Neuenrade,32
Plettenberg,66
Schalksmühle,30
Werdohl,53
