,"""Infizierte_7_Tage"""
Altena,10
Balve,8
Halver,9
Hemer,17
Herscheid,2
Iserlohn,49
Kierspe,11
Lüdenscheid,41
Meinerzhagen,19
Menden,17
Nachrodt-Wiblingwerde,2
Neuenrade,2
Plettenberg,11
Schalksmühle,2
Werdohl,5
