,"""Infizierte_7_Tage"""
Altena,2
Balve,0
Halver,4
Hemer,17
Herscheid,1
Iserlohn,64
Kierspe,21
Lüdenscheid,67
Meinerzhagen,24
Menden,20
Nachrodt-Wiblingwerde,4
Neuenrade,4
Plettenberg,10
Schalksmühle,0
Werdohl,9
