,"""Infizierte_7_Tage"""
Altena,15
Balve,9
Halver,16
Hemer,51
Herscheid,5
Iserlohn,132
Kierspe,40
Lüdenscheid,132
Meinerzhagen,28
Menden,53
Nachrodt-Wiblingwerde,7
Neuenrade,15
Plettenberg,39
Schalksmühle,4
Werdohl,48
