,"""Infizierte_7_Tage"""
Altena,25
Balve,7
Halver,10
Hemer,40
Herscheid,4
Iserlohn,174
Kierspe,57
Lüdenscheid,115
Meinerzhagen,22
Menden,58
Nachrodt-Wiblingwerde,7
Neuenrade,22
Plettenberg,36
Schalksmühle,4
Werdohl,41
