,"""Infizierte_7_Tage"""
Altena,9
Balve,9
Halver,6
Hemer,14
Herscheid,8
Iserlohn,54
Kierspe,12
Lüdenscheid,45
Meinerzhagen,4
Menden,12
Nachrodt-Wiblingwerde,0
Neuenrade,11
Plettenberg,22
Schalksmühle,0
Werdohl,8
