,"""Infizierte_7_Tage"""
Altena,15
Balve,9
Halver,15
Hemer,50
Herscheid,4
Iserlohn,129
Kierspe,41
Lüdenscheid,129
Meinerzhagen,30
Menden,69
Nachrodt-Wiblingwerde,6
Neuenrade,15
Plettenberg,40
Schalksmühle,3
Werdohl,56
