,"""Infizierte_7_Tage"""
Altena,3
Balve,1
Halver,5
Hemer,15
Herscheid,2
Iserlohn,59
Kierspe,18
Lüdenscheid,64
Meinerzhagen,20
Menden,19
Nachrodt-Wiblingwerde,6
Neuenrade,0
Plettenberg,8
Schalksmühle,1
Werdohl,12
