,"""Infizierte_7_Tage"""
Altena,0
Balve,0
Halver,0
Hemer,1
Herscheid,0
Iserlohn,2
Kierspe,0
Lüdenscheid,4
Meinerzhagen,2
Menden,2
Nachrodt-Wiblingwerde,0
Neuenrade,0
Plettenberg,1
Schalksmühle,0
Werdohl,3
