,"""Infizierte_7_Tage"""
Altena,15
Balve,1
Halver,8
Hemer,37
Herscheid,5
Iserlohn,138
Kierspe,32
Lüdenscheid,81
Meinerzhagen,17
Menden,28
Nachrodt-Wiblingwerde,6
Neuenrade,16
Plettenberg,48
Schalksmühle,3
Werdohl,25
