,"""Infizierte_7_Tage"""
Altena,5
Balve,0
Halver,1
Hemer,9
Herscheid,0
Iserlohn,15
Kierspe,1
Lüdenscheid,6
Meinerzhagen,0
Menden,4
Nachrodt-Wiblingwerde,0
Neuenrade,1
Plettenberg,7
Schalksmühle,1
Werdohl,3
