,"""Infizierte_7_Tage"""
Altena,7
Balve,21
Halver,8
Hemer,18
Herscheid,3
Iserlohn,63
Kierspe,16
Lüdenscheid,43
Meinerzhagen,19
Menden,16
Nachrodt-Wiblingwerde,1
Neuenrade,3
Plettenberg,11
Schalksmühle,0
Werdohl,3
