,"""Infizierte_7_Tage"""
Altena,4
Balve,0
Halver,2
Hemer,3
Herscheid,0
Iserlohn,27
Kierspe,7
Lüdenscheid,43
Meinerzhagen,22
Menden,6
Nachrodt-Wiblingwerde,1
Neuenrade,3
Plettenberg,6
Schalksmühle,0
Werdohl,51
