,"""Infizierte_7_Tage"""
Altena,1
Balve,0
Halver,0
Hemer,6
Herscheid,0
Iserlohn,12
Kierspe,2
Lüdenscheid,10
Meinerzhagen,2
Menden,2
Nachrodt-Wiblingwerde,0
Neuenrade,0
Plettenberg,0
Schalksmühle,0
Werdohl,0
