,"""Infizierte_7_Tage"""
Altena,1
Balve,0
Halver,0
Hemer,7
Herscheid,0
Iserlohn,18
Kierspe,2
Lüdenscheid,11
Meinerzhagen,2
Menden,2
Nachrodt-Wiblingwerde,0
Neuenrade,0
Plettenberg,1
Schalksmühle,1
Werdohl,0
