,"""Infizierte_7_Tage"""
Altena,220
Balve,124
Halver,311
Hemer,791
Herscheid,98
Iserlohn,1945
Kierspe,395
Lüdenscheid,1523
Meinerzhagen,541
Menden,1209
Nachrodt-Wiblingwerde,126
Neuenrade,208
Plettenberg,475
Schalksmühle,151
Werdohl,377
