,"""Infizierte_7_Tage"""
Altena,14
Balve,1
Halver,5
Hemer,27
Herscheid,6
Iserlohn,72
Kierspe,12
Lüdenscheid,70
Meinerzhagen,9
Menden,17
Nachrodt-Wiblingwerde,3
Neuenrade,8
Plettenberg,42
Schalksmühle,0
Werdohl,27
