,"""Infizierte_7_Tage"""
Altena,118
Balve,20
Halver,64
Hemer,137
Herscheid,9
Iserlohn,300
Kierspe,32
Lüdenscheid,258
Meinerzhagen,64
Menden,89
Nachrodt-Wiblingwerde,21
Neuenrade,17
Plettenberg,60
Schalksmühle,29
Werdohl,39
