,"""Infizierte_7_Tage"""
Altena,9
Balve,7
Halver,9
Hemer,16
Herscheid,2
Iserlohn,53
Kierspe,11
Lüdenscheid,42
Meinerzhagen,18
Menden,17
Nachrodt-Wiblingwerde,1
Neuenrade,2
Plettenberg,12
Schalksmühle,2
Werdohl,3
