,"""Infizierte_7_Tage"""
Altena,8
Balve,3
Halver,6
Hemer,14
Herscheid,3
Iserlohn,50
Kierspe,10
Lüdenscheid,45
Meinerzhagen,3
Menden,13
Nachrodt-Wiblingwerde,3
Neuenrade,10
Plettenberg,18
Schalksmühle,2
Werdohl,7
