,"""Infizierte_7_Tage"""
Altena,17
Balve,2
Halver,28
Hemer,33
Herscheid,12
Iserlohn,91
Kierspe,14
Lüdenscheid,93
Meinerzhagen,23
Menden,51
Nachrodt-Wiblingwerde,4
Neuenrade,5
Plettenberg,33
Schalksmühle,10
Werdohl,12
