,"""Infizierte_7_Tage"""
Altena,25
Balve,11
Halver,19
Hemer,45
Herscheid,11
Iserlohn,164
Kierspe,36
Lüdenscheid,116
Meinerzhagen,15
Menden,77
Nachrodt-Wiblingwerde,3
Neuenrade,12
Plettenberg,35
Schalksmühle,11
Werdohl,63
