,"""Infizierte_7_Tage"""
Altena,123
Balve,97
Halver,153
Hemer,324
Herscheid,76
Iserlohn,1056
Kierspe,141
Lüdenscheid,722
Meinerzhagen,210
Menden,520
Nachrodt-Wiblingwerde,49
Neuenrade,87
Plettenberg,309
Schalksmühle,101
Werdohl,226
