,"""Infizierte_7_Tage"""
Altena,60
Balve,17
Halver,25
Hemer,123
Herscheid,5
Iserlohn,293
Kierspe,16
Lüdenscheid,173
Meinerzhagen,41
Menden,90
Nachrodt-Wiblingwerde,27
Neuenrade,20
Plettenberg,50
Schalksmühle,21
Werdohl,26
