,"""Infizierte_7_Tage"""
Altena,9
Balve,23
Halver,8
Hemer,13
Herscheid,9
Iserlohn,66
Kierspe,18
Lüdenscheid,46
Meinerzhagen,16
Menden,14
Nachrodt-Wiblingwerde,0
Neuenrade,4
Plettenberg,18
Schalksmühle,0
Werdohl,5
