,"""Infizierte_7_Tage"""
Altena,9
Balve,3
Halver,6
Hemer,9
Herscheid,2
Iserlohn,57
Kierspe,17
Lüdenscheid,58
Meinerzhagen,16
Menden,14
Nachrodt-Wiblingwerde,3
Neuenrade,1
Plettenberg,10
Schalksmühle,2
Werdohl,6
