,"""Infizierte_7_Tage"""
Altena,46
Balve,17
Halver,33
Hemer,109
Herscheid,17
Iserlohn,167
Kierspe,35
Lüdenscheid,217
Meinerzhagen,56
Menden,127
Nachrodt-Wiblingwerde,11
Neuenrade,9
Plettenberg,61
Schalksmühle,13
Werdohl,45
