,"""Infizierte_7_Tage"""
Altena,9
Balve,0
Halver,3
Hemer,5
Herscheid,1
Iserlohn,10
Kierspe,1
Lüdenscheid,11
Meinerzhagen,10
Menden,4
Nachrodt-Wiblingwerde,1
Neuenrade,1
Plettenberg,9
Schalksmühle,0
Werdohl,11
