,"""Infizierte_7_Tage"""
Altena,41
Balve,18
Halver,75
Hemer,94
Herscheid,23
Iserlohn,219
Kierspe,133
Lüdenscheid,234
Meinerzhagen,62
Menden,114
Nachrodt-Wiblingwerde,18
Neuenrade,27
Plettenberg,37
Schalksmühle,22
Werdohl,59
