,"""Infizierte_7_Tage"""
Altena,10
Balve,23
Halver,8
Hemer,15
Herscheid,7
Iserlohn,71
Kierspe,14
Lüdenscheid,46
Meinerzhagen,19
Menden,15
Nachrodt-Wiblingwerde,1
Neuenrade,4
Plettenberg,16
Schalksmühle,0
Werdohl,5
