,"""Infizierte_7_Tage"""
Altena,173
Balve,128
Halver,289
Hemer,732
Herscheid,168
Iserlohn,1846
Kierspe,277
Lüdenscheid,1306
Meinerzhagen,461
Menden,822
Nachrodt-Wiblingwerde,82
Neuenrade,88
Plettenberg,530
Schalksmühle,160
Werdohl,309
