,"""Infizierte_7_Tage"""
Altena,4
Balve,0
Halver,3
Hemer,5
Herscheid,1
Iserlohn,19
Kierspe,7
Lüdenscheid,54
Meinerzhagen,17
Menden,2
Nachrodt-Wiblingwerde,1
Neuenrade,3
Plettenberg,6
Schalksmühle,0
Werdohl,54
