,"""Infizierte_7_Tage"""
Altena,8
Balve,0
Halver,0
Hemer,14
Herscheid,0
Iserlohn,40
Kierspe,6
Lüdenscheid,35
Meinerzhagen,3
Menden,18
Nachrodt-Wiblingwerde,5
Neuenrade,17
Plettenberg,13
Schalksmühle,0
Werdohl,27
