,"""Infizierte_7_Tage"""
Altena,5
Balve,0
Halver,1
Hemer,8
Herscheid,0
Iserlohn,5
Kierspe,1
Lüdenscheid,4
Meinerzhagen,0
Menden,4
Nachrodt-Wiblingwerde,0
Neuenrade,1
Plettenberg,8
Schalksmühle,1
Werdohl,3
