,"""Infizierte_7_Tage"""
Altena,8
Balve,10
Halver,5
Hemer,16
Herscheid,2
Iserlohn,52
Kierspe,10
Lüdenscheid,45
Meinerzhagen,22
Menden,15
Nachrodt-Wiblingwerde,1
Neuenrade,2
Plettenberg,9
Schalksmühle,1
Werdohl,3
