,"""Infizierte_7_Tage"""
Altena,21
Balve,11
Halver,16
Hemer,31
Herscheid,13
Iserlohn,173
Kierspe,41
Lüdenscheid,115
Meinerzhagen,13
Menden,72
Nachrodt-Wiblingwerde,6
Neuenrade,10
Plettenberg,42
Schalksmühle,9
Werdohl,56
