,"""Infizierte_7_Tage"""
Altena,18
Balve,8
Halver,15
Hemer,41
Herscheid,4
Iserlohn,130
Kierspe,47
Lüdenscheid,130
Meinerzhagen,31
Menden,60
Nachrodt-Wiblingwerde,6
Neuenrade,20
Plettenberg,37
Schalksmühle,4
Werdohl,49
