,"""Infizierte_7_Tage"""
Altena,65
Balve,34
Halver,88
Hemer,110
Herscheid,22
Iserlohn,231
Kierspe,106
Lüdenscheid,309
Meinerzhagen,92
Menden,99
Nachrodt-Wiblingwerde,23
Neuenrade,37
Plettenberg,71
Schalksmühle,39
Werdohl,54
