Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,403,1
Großrosseln,356,1
Heusweiler,853,4
Kleinblittersdorf,708,2
Püttlingen,882,3
Quierschied,588,2
Riegelsberg,720,1
Saarbrücken,10367,62
Sulzbach/Saar,732,6
Völklingen,2726,42
