Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,308,18
Großrosseln,303,23
Heusweiler,689,41
Kleinblittersdorf,613,21
Püttlingen,706,35
Quierschied,481,36
Riegelsberg,595,46
Saarbrücken,8110,710
Sulzbach/Saar,562,35
Völklingen,2068,151
