Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,380,11
Großrosseln,341,9
Heusweiler,795,37
Kleinblittersdorf,668,18
Püttlingen,806,27
Quierschied,559,22
Riegelsberg,675,24
Saarbrücken,9642,296
Sulzbach/Saar,695,19
Völklingen,2461,84
