Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,358,3
Großrosseln,329,1
Heusweiler,745,8
Kleinblittersdorf,637,2
Püttlingen,755,4
Quierschied,517,9
Riegelsberg,636,3
Saarbrücken,8891,87
Sulzbach/Saar,647,19
Völklingen,2270,8
