Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,568,28
Großrosseln,449,21
Heusweiler,1147,47
Kleinblittersdorf,1063,39
Püttlingen,1257,80
Quierschied,896,56
Riegelsberg,957,60
Saarbrücken,13207,716
Sulzbach/Saar,1226,84
Völklingen,3540,167
