Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,333,30
Großrosseln,323,28
Heusweiler,709,32
Kleinblittersdorf,621,3
Püttlingen,732,20
Quierschied,496,12
Riegelsberg,613,23
Saarbrücken,8485,415
Sulzbach/Saar,584,28
Völklingen,2179,135
