Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,355,6
Großrosseln,329,2
Heusweiler,742,23
Kleinblittersdorf,635,6
Püttlingen,749,3
Quierschied,509,6
Riegelsberg,635,7
Saarbrücken,8830,114
Sulzbach/Saar,638,34
Völklingen,2264,14
