Stadt/Gemeinde,Fälle summiert,Aktuell Infizierte
Friedrichsthal,384,9
Großrosseln,345,11
Heusweiler,804,34
Kleinblittersdorf,671,15
Püttlingen,828,48
Quierschied,569,28
Riegelsberg,695,39
Saarbrücken,9831,365
Sulzbach/Saar,704,19
Völklingen,2496,75
