Stadt/Gemeinde,Fälle gesamt,7-Tage-Summe der Neuinfektionen
Friedrichsthal,422,10
Großrosseln,368,7
Heusweiler,884,6
Kleinblittersdorf,719,4
Püttlingen,919,20
Quierschied,612,3
Riegelsberg,750,16
Saarbrücken,10604,77
Sulzbach/Saar,768,25
Völklingen,2813,19
